                                               filename   slit    nx    ny    nz   int  odcid     x1     x2     y1     y2                name
                                   EUV2000_176_03_34_00      0  1024     1   302     1     41      0   1023      0     63             alp psa
                                   EUV2000_262_00_30_21      2     1    64   601     1     35      0   1023      0     63             alp psa
                                   EUV2000_262_00_41_41      2  1024    64    20    60     36      0   1023      0     63             alp psa
                                   EUV2000_262_01_01_31      2  1024     1   601     1     37      0   1023      0     63             alp psa
                                   EUV2000_262_01_11_56      1     1    64   302     1     38      0   1023      0     63             alp psa
                                   EUV2000_262_01_17_16      1  1024     1   302     1     39      0   1023      0     63             alp psa
                                   EUV2000_262_01_22_41      0     1    64   302     1     40      0   1023      0     63             alp psa
                                   EUV2000_262_01_28_02      0  1024     1   302     1     41      0   1023      0     63             alp psa
                                   EUV2000_262_01_33_26      2     1    64   600     1     35      0   1023      0     63             alp psa
                                   EUV2000_262_01_44_45      2  1024    64    20    60     36      0   1023      0     63             alp psa
                                   EUV2000_262_02_04_35      2  1024     1   601     1     37      0   1023      0     63             alp psa
                                   EUV2000_262_02_15_00      1     1    64   302     1     38      0   1023      0     63             alp psa
                                   EUV2000_262_02_20_20      1  1024     1   302     1     39      0   1023      0     63             alp psa
                                   EUV2000_262_02_25_45      0     1    64   236     1     40      0   1023      0     63             alp psa
                                   EUV2000_262_02_33_40      0  1024     1   148     1     41      0   1023      0     63             alp psa
                                   EUV2000_262_02_36_30      2     1    64   600     1     35      0   1023      0     63             alp psa
                                   EUV2000_262_02_47_49      2  1024    64    20    60     36      0   1023      0     63             alp psa
                                   EUV2000_262_03_07_39      2  1024     1   601     1     37      0   1023      0     63             alp psa
                                   EUV2000_262_03_18_04      1     1    64   302     1     38      0   1023      0     63             alp psa
                                   EUV2000_262_03_23_24      1  1024     1   302     1     39      0   1023      0     63             alp psa
                                   EUV2000_262_03_28_49      0     1    64   302     1     40      0   1023      0     63             alp psa
                                   EUV2000_262_03_34_10      0  1024     1   302     1     41      0   1023      0     63             alp psa
                                   EUV2001_093_08_35_28      2  1024    64    29    60     93      0   1023      0     63             alp vir
